clamav	3.7.2	https://wiremind.github.io/wiremind-helm-charts	20
reflector	10.0.65	https://emberstack.github.io/helm-charts	20
spinnaker	2.2.7	https://helmcharts.opsmx.com/	20
vcluster	0.37.0-rc.4	https://charts.loft.sh	20
atlantis	6.15.0	https://runatlantis.github.io/helm-charts	20
grafana-agent	0.44.2	https://grafana.github.io/helm-charts	20
milvus	4.0.31	https://raw.githubusercontent.com/milvus-io/milvus-helm/gh-pages	20
meshery	1.0.68	https://meshery.io/charts/	19
cloudflared	2.2.17	https://community-charts.github.io/helm-charts	19
outline	0.9.4	https://community-charts.github.io/helm-charts	19
prometheus-mysql-exporter	2.15.0	https://prometheus-community.github.io/helm-charts	19
victoria-metrics-operator	0.67.3	https://victoriametrics.github.io/helm-charts/	19
flagger	1.45.0	https://flagger.app	19
clearml	7.15.0	https://clearml.github.io/clearml-helm-charts	18
cni	1.31.0-rc.0	https://istio-release.storage.googleapis.com/charts	18
datadog-operator	2.26.0-dev.4	https://helm.datadoghq.com	18
penpot	1.9.0	https://helm.penpot.app	18
semaphore	16.2.2	https://semaphoreui.github.io/charts/	18
weblate	0.5.33	https://helm.weblate.org	18
cluster	0.8.1	https://cloudnative-pg.io/charts/	18
local-path-provisioner	0.0.38	https://charts.containeroo.ch	18
opensearch-dashboards	3.8.0	https://opensearch-project.github.io/helm-charts	18
tomcat	13.6.22	https://charts.bitnami.com/bitnami	18
seaweedfs	4.45.0	https://seaweedfs.github.io/seaweedfs/helm	18
dependency-track	2.3.0	https://dependencytrack.github.io/helm-charts	17
openfga	0.3.13	https://openfga.github.io/helm-charts	17
flowise	6.0.0	https://cowboysysop.github.io/charts/	17
grafana-loki	6.0.6	https://charts.bitnami.com/bitnami	17
locust	0.35.0	https://raw.githubusercontent.com/deliveryhero/helm-charts/refs/heads/master/	17
mailpit	0.36.0	https://jouve.github.io/charts/	17
node-red	0.40.2	https://schwarzit.github.io/node-red-chart/	17
prometheus-kafka-exporter	3.1.1	https://prometheus-community.github.io/helm-charts	17
prometheus-mongodb-exporter	3.22.0	https://prometheus-community.github.io/helm-charts	17
community-operator	0.13.0	https://mongodb.github.io/helm-charts	17
keel	1.2.2	https://charts.keel.sh	17
postgres	1.6.8	https://groundhog2k.github.io/helm-charts/	17
